nodeName	altName	nodeAttr[nodesPresent, ]
2510009E07Rik	NA	turquoise
2610002M06Rik	NA	turquoise
4932438A13Rik	NA	turquoise
9930021J03Rik	NA	turquoise
A830018L16Rik	NA	turquoise
Aagab	NA	turquoise
Aak1	NA	turquoise
Aars2	NA	turquoise
Abca16	NA	turquoise
Abca3	NA	turquoise
Abce1	NA	turquoise
Abcg4	NA	turquoise
Abhd13	NA	turquoise
Abhd2	NA	turquoise
Abi2	NA	turquoise
Abl2	NA	turquoise
Ablim1	NA	turquoise
Abr	NA	turquoise
Acaca	NA	turquoise
Acap2	NA	turquoise
Actr1b	NA	turquoise
Actr3b	NA	turquoise
Acvr2b	NA	turquoise
Adam22	NA	turquoise
Adam23	NA	turquoise
Adcy1	NA	turquoise
Adcy2	NA	turquoise
Adcy9	NA	turquoise
Add2	NA	turquoise
Adnp2	NA	turquoise
Adra1a	NA	turquoise
Afdn	NA	turquoise
Aff2	NA	turquoise
Aff4	NA	turquoise
Aftph	NA	turquoise
Ago3	NA	turquoise
Ago4	NA	turquoise
Akap10	NA	turquoise
Akap11	NA	turquoise
Akap5	NA	turquoise
Akap6	NA	turquoise
Alg9	NA	turquoise
Alms1	NA	turquoise
Ambra1	NA	turquoise
Amer3	NA	turquoise
Anapc1	NA	turquoise
Angel2	NA	turquoise
Ank2	NA	turquoise
Ank3	NA	turquoise
Ankhd1	NA	turquoise
Ankle2	NA	turquoise
Ankrd17	NA	turquoise
Ankrd33b	NA	turquoise
Ankrd34c	NA	turquoise
Anks1	NA	turquoise
Ano2	NA	turquoise
Ap2b1	NA	turquoise
Ap3d1	NA	turquoise
Apc2	NA	turquoise
Aqr	NA	turquoise
Arfgap3	NA	turquoise
Arfgef2	NA	turquoise
Arfgef3	NA	turquoise
Arhgap20	NA	turquoise
Arhgap26	NA	turquoise
Arhgap32	NA	turquoise
Arhgap35	NA	turquoise
Arhgap45	NA	turquoise
Arhgef3	NA	turquoise
Arhgef7	NA	turquoise
Arhgef9	NA	turquoise
Arid1b	NA	turquoise
Arid5b	NA	turquoise
Arih1	NA	turquoise
Arl5b	NA	turquoise
Arnt2	NA	turquoise
Arpp21	NA	turquoise
Asah2	NA	turquoise
Asap1	NA	turquoise
Asap2	NA	turquoise
Asb1	NA	turquoise
Ascc2	NA	turquoise
Ash1l	NA	turquoise
Astn1	NA	turquoise
Asxl2	NA	turquoise
Asxl3	NA	turquoise
Atg2b	NA	turquoise
Atp13a3	NA	turquoise
Atp1a3	NA	turquoise
Atp2b1	NA	turquoise
Atp2b3	NA	turquoise
Atp6v0a1	NA	turquoise
Atp8a2	NA	turquoise
Atp8b2	NA	turquoise
Atp9b	NA	turquoise
Atxn2	NA	turquoise
AU041133	NA	turquoise
B3galt1	NA	turquoise
Bace2	NA	turquoise
Bcas3	NA	turquoise
Bdp1	NA	turquoise
Bend4	NA	turquoise
Birc6	NA	turquoise
Blzf1	NA	turquoise
Bmpr2	NA	turquoise
Bptf	NA	turquoise
Braf	NA	turquoise
Brd4	NA	turquoise
Brwd3	NA	turquoise
Bsn	NA	turquoise
Btaf1	NA	turquoise
C2cd2l	NA	turquoise
C3	NA	turquoise
Cacna1b	NA	turquoise
Cacna1c	NA	turquoise
Cacna1e	NA	turquoise
Cacna1g	NA	turquoise
Cacna2d1	NA	turquoise
Cacna2d2	NA	turquoise
Cacnb4	NA	turquoise
Cacul1	NA	turquoise
Cadm3	NA	turquoise
Caln1	NA	turquoise
Camk1d	NA	turquoise
Camsap1	NA	turquoise
Camsap2	NA	turquoise
Casd1	NA	turquoise
Castor2	NA	turquoise
Cbl	NA	turquoise
Ccbe1	NA	turquoise
Ccdc25	NA	turquoise
Ccdc6	NA	turquoise
Ccdc8	NA	turquoise
Ccnd2	NA	turquoise
Ccny	NA	turquoise
Ccser2	NA	turquoise
Cd2bp2	NA	turquoise
Cdc42bpa	NA	turquoise
Cdh12	NA	turquoise
Cdh9	NA	turquoise
Cdk13	NA	turquoise
Cdk19	NA	turquoise
Cdkl5	NA	turquoise
Cds2	NA	turquoise
Celf1	NA	turquoise
Celf2	NA	turquoise
Celsr2	NA	turquoise
Cenpj	NA	turquoise
Cep350	NA	turquoise
Cers6	NA	turquoise
Chd2	NA	turquoise
Chd5	NA	turquoise
Chd8	NA	turquoise
Cherp	NA	turquoise
Chl1	NA	turquoise
Chrm1	NA	turquoise
Chrm2	NA	turquoise
Chrna7	NA	turquoise
Chrnb2	NA	turquoise
Ciart	NA	turquoise
Clasp1	NA	turquoise
Clcn4	NA	turquoise
Clcn7	NA	turquoise
Clec16a	NA	turquoise
Clip3	NA	turquoise
Clpb	NA	turquoise
Clstn2	NA	turquoise
Clvs2	NA	turquoise
Cnih3	NA	turquoise
Cnnm2	NA	turquoise
Cnnm4	NA	turquoise
Cnot1	NA	turquoise
Cnr1	NA	turquoise
Cnrip1	NA	turquoise
Cntn4	NA	turquoise
Cntnap2	NA	turquoise
Cntnap3	NA	turquoise
Cntnap4	NA	turquoise
Cntnap5a	NA	turquoise
Cog1	NA	turquoise
Col19a1	NA	turquoise
Cpsf2	NA	turquoise
Cramp1l	NA	turquoise
Creg2	NA	turquoise
Csmd1	NA	turquoise
Csmd2	NA	turquoise
Cstf2t	NA	turquoise
Cttnbp2	NA	turquoise
Cxxc4	NA	turquoise
Cyfip2	NA	turquoise
Cyld	NA	turquoise
Cyp4x1	NA	turquoise
D030056L22Rik	NA	turquoise
D430041D05Rik	NA	turquoise
D630045J12Rik	NA	turquoise
Daam1	NA	turquoise
Dcaf1	NA	turquoise
Dcaf10	NA	turquoise
Dcaf7	NA	turquoise
Dcc	NA	turquoise
Dclk1	NA	turquoise
Dcp1a	NA	turquoise
Dcp2	NA	turquoise
Dcx	NA	turquoise
Ddx10	NA	turquoise
Ddx59	NA	turquoise
Dgke	NA	turquoise
Dgkg	NA	turquoise
Dgki	NA	turquoise
Dhx33	NA	turquoise
Dhx38	NA	turquoise
Dip2b	NA	turquoise
Dip2c	NA	turquoise
Disp2	NA	turquoise
Dlat	NA	turquoise
Dlc1	NA	turquoise
Dlg5	NA	turquoise
Dlgap1	NA	turquoise
Dlgap2	NA	turquoise
Dlx6	NA	turquoise
Dmxl1	NA	turquoise
Dmxl2	NA	turquoise
Dnajb14	NA	turquoise
Dnajb5	NA	turquoise
Dnajc13	NA	turquoise
Dnajc16	NA	turquoise
Dnajc18	NA	turquoise
Dnm1	NA	turquoise
Doc2a	NA	turquoise
Doc2b	NA	turquoise
Dock3	NA	turquoise
Dock9	NA	turquoise
Dok5	NA	turquoise
Dok6	NA	turquoise
Dolpp1	NA	turquoise
Dpp6	NA	turquoise
Dpy19l3	NA	turquoise
Dpysl5	NA	turquoise
Drp2	NA	turquoise
Dscam	NA	turquoise
Dvl3	NA	turquoise
Dync1h1	NA	turquoise
Dync2h1	NA	turquoise
Dyrk1a	NA	turquoise
Dzank1	NA	turquoise
E2f3	NA	turquoise
Edrf1	NA	turquoise
Efr3b	NA	turquoise
Egr1	NA	turquoise
Egr2	NA	turquoise
Egr4	NA	turquoise
Eif1a	NA	turquoise
Eif4g3	NA	turquoise
Eif5a2	NA	turquoise
Elfn2	NA	turquoise
Elk1	NA	turquoise
Elp1	NA	turquoise
Eml5	NA	turquoise
Emsy	NA	turquoise
Entpd3	NA	turquoise
Ep400	NA	turquoise
Epg5	NA	turquoise
Epha3	NA	turquoise
Ephb6	NA	turquoise
Epm2a	NA	turquoise
Epm2aip1	NA	turquoise
Erbb4	NA	turquoise
Erc1	NA	turquoise
Erc2	NA	turquoise
Ercc4	NA	turquoise
Ercc6	NA	turquoise
Esrrg	NA	turquoise
Ess2	NA	turquoise
Esyt3	NA	turquoise
Etl4	NA	turquoise
Etv1	NA	turquoise
Etv5	NA	turquoise
Exoc4	NA	turquoise
Exph5	NA	turquoise
Eya3	NA	turquoise
Fam117b	NA	turquoise
Fam126b	NA	turquoise
Fam131b	NA	turquoise
Fam135b	NA	turquoise
Fam160a2	NA	turquoise
Fam160b1	NA	turquoise
Fam168a	NA	turquoise
Fam168b	NA	turquoise
Fam189a1	NA	turquoise
Fam234b	NA	turquoise
Far2	NA	turquoise
Fasn	NA	turquoise
Fat3	NA	turquoise
Faxc	NA	turquoise
Fbxl20	NA	turquoise
Fbxo28	NA	turquoise
Fdxr	NA	turquoise
Fer	NA	turquoise
Fgd3	NA	turquoise
